Column,2019 ACTUAL,CBK 2020 FORECAST,WORLD BANK FORECAST
Annual Real GDP Growth,5.4%,2.3%,1.5%
Agriculture,3.6%,3.6%,2.8%
Industry,4.7%,2.8%,1.1%
Services,6.7%,1.4%,1.1%
