Shareholder,Material Matters,Risks,Opportunities,Our Response
"Strategic Focus:
To be the
dominant Bank
in the Region","• Interest rate
capping
• Growth and
sustainability of
shareholder returns
• Partnership with
the Co-operative
movement
• Operating
environment in
South Sudan","• Suppressed interest
margins may
result in reduced
profitability
• Hyperinflation
environment
and currency
depreciation in
south Sudan may
lead to monetary
loss","• Growth in volume
business due to
high uptake of
loans resulting from
the reduced interest
rates
• Increased non-
funded income
from the increased
volume of business","We have strategically
responded to
these risks and
opportunities by;
• Ensuring our
business model
is in line with this
strategic objective
• Employing growth
initiatives within
our transformation
project
• We have a
dedicated Co-
operatives division"
Customer,,,,
"Strategic Focus:
To enhance our
overall customer
experience","• High expectations
on service
• Demand for
Innovative,
convenient and
affordable digital
solutions
• Confidentiality and
safety","• Increased
penetration of
digital banking
comes with its
own challenges
of information
security’","• Ensuring data
integrity, safety
and high levels
of customer
experience is an
opportunity to
attract and retain
customers’","• We have invested in
customer experience
infrastructure such
as CRM, 24 hour
contact centre, a
customer centric
business model,
secure systems
• Optimum systems
availability
• 148 branches and a
range of alternative
channels
• Proactive resolution
of service exceptions"
