Column,"Actual
Q3-2015","Projections
FY 2015"
Profit Before Tax Growth,33.2%,28% - 35%
Loans & Advances Growth,20.7%,20%
Deposits Growth,24.6%,25%
Cost to Income Ratio,49.0%,53%
Non Funded to Total Income,34.7%,35%
ROAE,25.2%,25-30%
ROAA,3.8%,4 -4.5%
NPL,3.4%,4.15%
Cost of funds,4.1%,4.2%
Net interest margin (NIM),9.0%,9%
Cost of risk,1.04%,1%
