Column,"Actual
Q3 2017","Projections
FY 2017"
Profit Before Tax Growth,-9.8%,Flat growth
Loans & Advances Growth,14.2%,12%
Deposits Growth,11.4%,12%
Cost to Income Ratio,47.6%,48%
Non Funded to Total Income,32.8%,35%
Return On Average Equity (ROAE),20.1%,20%
Return On Average Assets (ROAA),3.4%,3.5%
Non Performing Loans (NPL),6.18%,6%
Cost of average funds,4.0%,4%
Net Interest Margin (NIM),8.9%,9%
Cost of risk,1.4%,1.4%
