Column,"Actual
Q22018","Projections
FY 2018"
Profit Before Tax Growth,7.6%,12%
Loans & Advances Growth,-0.6%,5%
Deposits Growth,4.5%,10%
Cost to Income Ratio,49.9%,50%
Non Funded to Total Income,32.1%,35%
Return On Average Equity (ROAE),21.6%,22%
Return On Average Assets (ROAA),3.7%,3.8%
Non Performing Loans (NPL),10.9%,8%
Cost of average funds,3.8%,4%
Net Interest Margin (NIM),9.0%,9%
Cost of risk,0.9%,1.2%
