Notes,"2021
(KShs’000)","2020
(KShs’000)"
7,"27,511,150","20,795,376"
8,"6,970,086","16,381,436"
9,"84,481,110","63,173,412"
9,"309,038","308,095"
10,"199,765","75,549"
11,"18,441,628","16,929,684"
24(b),-,"697,799"
12(a),"304,584,437","280,522,176"
13,"77,235,179","77,516,586"
14,"3,884,925","3,512,920"
15,"706,444","706,444"
16(b),"2,442,970","2,699,811"
17,"33,302","33,912"
18(b),"5,094,508","5,577,625"
19,"3,411,854","3,925,238"
20,"5,080,346","3,966,886"
,"540,386,742","496,822,949"
21,"754,572","654,958"
22(a),"398,686,293","369,429,653"
23,"20,144,729","22,262,674"
24(b),"907,798",-
25,"173,617","116,576"
26,"24,800,210","18,761,707"
27,"406,465","424,941"
,"445,873,684","411,650,509"
28,"5,867,180","5,867,180"
29,"1,911,926","1,911,926"
30(a),"1,281,592","1,316,635"
30(b),"79,383,183","69,602,038"
30(c),"201,997","607,481"
30(d),-,-
31,"5,867,180","5,867,180"
,"94,513,058","85,172,440"
,"540,386,742","496,822,949"
