2010,2011,2012,2013,2014
KShs. Millions,,,,
"20,775","21,616","31,100","30,754","37,146"
"90,965","114,101","123,824","141,608","183,942"
"(4,346)","(4,692)","(4,736)","(4,521)","(4,456)"
"34,391","22,237","33,391","41,055","47,722"
"6,943","9,336","11,133","13,102","11,830"
"5,611","5,714","5,876","9,217","9,212"
"154,339","168,312","200,588","231,215","285,396"
"129,226","144,514","163,149","180,887","220,858"
139,234,"4,572","10,252","18,269"
"4,379","2,613","3,500","3,492","3,392"
"134,359","147,360","171,221","194,631","242,519"
"19,980","20,951","29,367","36,584","42,877"
"9,503","11,885","13,581","15,869","19,135"
"6,168","6,451","10,200","12,021","12,951"
"9,231","11,417","13,171","16,605","20,265"
799,710,999,778,"1,176"
130,158,374,365,271
"5,771","6,366","9,984","10,872","10,916"
"4,580","5,366","7,724","9,108","8,015"
1.31,1.54,1.84,2.2,1.69
0.4,0.4,0.5,0.5,0.5
25%,26%,31%,30%,20%
3.5%,3.3%,4.2%,4.5%,3.1%
64%,66%,60%,62%,67 %
22%,27%,39%,27%,30%
13%,12%,15%,16%,15%
5%,5%,4%,3%,3%
5%,0.60%,0.80%,0.80%,2.4%
5%,4.00%,3.80%,3.80%,4.3%
89%,90%,76%,74%,56%
21%,22%,16%,12%,10%
70%,79%,76%,76%,83%
0.10%,0.20%,2.80%,5.70%,8.3%
0.20%,0.20%,3.70%,7.00%,9.9%
