Column,Q32017,%,Q32016,%,FY2016,%
Normal,"230,546",86.1%,"205,064",88.1%,"196,708",80.5%
Watch,"22,093",8.2%,"17,747",7.6%,"36,475",14.9%
Substandard,"11,050",4.1%,"5,894",2.5%,"5,857",2.4%
Doubtful,"3,557",1.3%,"3,406",1.5%,"4,741",1.9%
Loss,556,0.2%,689,0.3%,675,0.3%
TOTAL,"267,803",100.0%,"232,799",100.0%,"244,456",100.0%
