Column,What We Do
Retail & Business Banking Divisions,"Providing financial solutions to
individual Customers, Micro, Small
and Medium Enterprises."
"Corporate and Institutional Banking
Division","Providing financial solutions to:
• Corporates
• Institutions
• Government
• Parastatals
• Non- Governmental Institutions
• International Financial Institutions"
Co-operatives Banking Division,"Providing financial solutions to:
• Large Saccos
• Housing Saccos
• Agricultural and other Co-operatives
• PSV/Transport Saccos
• Investment Saccos"
Kingdom Bank Ltd,"A Niche MSME Bank providing financial
services."
Co-optrust Investment Services Ltd,Fund Management Services
"Coop Consultancy & Bancassurance
Intermediary Ltd","• Bancassurance Services
• Consultancy and capacity building
services to Co-operative Societies"
Kingdom Securities Ltd,Stock Brokerage Services
"Co-opbank Fleet Africa Leasing
Limited","Leasing Solutions to Retail, MSME’s,
Corporates, PSVs, Government and
Non-Government"
