New standards or amendments,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28)",To be determined
Classification of Liabilities as Current or Non-current (Amendments to IAS 1),1 January 2024
Lease Liability in a Sale and Leaseback – Amendments to IFRS 16,1 January 2024
Definition of Accounting Estimates (Amendments to IAS 8),1 January 2023
"Deferred Tax related to Assets and Liabilities arising from a Single Transaction
(Amendments to IAS 12)",1 January 2023
IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance Contracts,1 January 2023
