Column,"Projections
FY - 2015"
Profit Before Tax Growth,30-35%
Loans & Advances Growth,25-30%
Deposits Growth,20-25%
Cost to Income,53%
Non Funded to Total Income,40%
ROE,25-30%
ROA,4 -4.5%
NPL,4.15%
Cost of funds,3.2%
Net interest margin,10%
Cost of risk,1.3%
