Notes,"2021
(KShs’000)","2020
(KShs’000)"
,"16,543,903","10,812,875"
42,"(559,225)","725,580"
,-,-
,-,-
15,"4,050","4,492"
15,-,"7,823"
,"(555,175)","737,895"
,-,-
,,-
15,-,"6,170"
,-,"6,170"
,"(555,175)","744,065"
,"15,988,728","11,556,940"
,"16,122,659","12,338,513"
,"(133,931)","(781,573)"
,"15,988,728","11,556,940"
