Kshs. Billions,FY 2024,FY 2023,YoY Change
Total Interest Income,86.25,69.07,24.9%
Total Interest Expenses,34.73,23.84,45.7%
Net Interest Income,51.52,45.23,13.9%
Fees and commissions on loans and advances,11.03,12.25,-10.0%
Other Fees and commissions,12.07,10.13,19.2%
Foreign exchange trading income,4.97,3.18,56.4%
Other income,1.05,0.90,16.6%
Total Operating Income,80.65,71.69,12.5%
Loan loss provision,8.66,6.01,44.2%
Staff costs,18.32,16.69,9.8%
Other operating expenses,19.70,16.98,16.1%
Total Operating expenses,46.69,39.67,17.7%
Profit before tax and exceptional items,33.96,32.02,6.1%
Exceptional items-Share of profit of associate,0.82,0.35,137.9%
Profit Before Tax,34.78,32.36,7.5%
Income tax,9.32,9.18,1.6%
Profit After Tax,25.46,23.19,9.8%
