Column,FY2021,FY2020,Growth,Growth %
,Kshs. '000',Kshs. '000',Kshs. '000',
Co-operative Bank of Kenya Ltd,"21,325,327","16,960,630","4,364,697",26%
"Co-operative Bank of South Sudan
Ltd","(421,683)","(1,593,926)","1,172,243",74%
Co-opTrust Investment Services Ltd,"140,362","69,958","70,404",101%
"Co-op Consultancy & Bancassurance
Intermediary Ltd","803,930","788,577","15,352",2%
Kingdom Securities Ltd,703,"(17,114)","17,817",104%
Kingdom Bank Ltd,"549,549","(76,326)","625,875",820%
Co-op Bank and Subsidiaries Total,"22,398,187","16,131,799","6,266,388",39%
Associates share of profit,"250,675","(149,939)","400,614",267%
Group Profit before Tax,"22,648,862","14,281,861","8,367,002",59%
Income Tax Expense,"6,104,960","3,468,985","2,635,975",76%
Group Profit After Tax,"16,543,902","10,812,876","5,731,027",53%
