Ksh. Billions,Q3-2015,Q3-2014,% Change (YoY),FY 2014
Total Assets,332.8,270.7,23%,285.4
Loan book (NET),212.4,176.0,20.7%,179.5
Government Securities,42.2,36.5,15.5%,40.7
Total Deposits,257.5,206.6,24.6%,220.9
No. of account holders (Millions),5.7,4.9,16.3%,5.1
Shareholders Funds,49.5,41.8,18.4%,43.3
