DEVELOPMENT PARTNER,1Q2017,1Q2016,Column
IFAD,30.00,30.00,"To finance the Eastern Province Horticultural and Traditional Food
crops project"
EUROPEAN INVESTMENT BANK,"2,171.08","5,325.41",To fund SMEs
AFD,"4,022.20","3,631.62",To fund energy efficient and renewable energy projects
,,,"To fund SME’s and agribusiness, construction and mortgage
segments"
"INTERNATIONAL FINANCE
CORPORATION","14,674.10","4,437.69",
D.E.G -(K.F.W),"4,304.40","5,339.10",To finance SME and Corporate customers
TOTAL,"25,201.79","18,763.82",
19,,,
