"4,272,077","138,990","1,576,262"
"(955,284)","(41,126)","(45,415)"
"3,316,793","97,864","1,530,847"
"(2,236,106)","(84,673)","(1,239,551)"
–,–,–
"1,080,687","13,191","291,296"
–,–,–
"(419,616)","(11,388)","(91,866)"
"661,071","1,803","199,430"
"(996,073)","(4,178)",–
"(335,002)","(2,375)","199,430"
"66,107",721,"97,721"
