Origination,"proper product setup, pricing, Scoring, Credit reports, and pre-
approval"
Processing and approval,"Document verification, Risk & credit analysis reports, approval."
Portfolio Management,"We have a proactive approach to managing our loan book.
Portfolio management- we have a proactive approach to
managing our loan book."
Servicing,"For both loans and deposits, we ensure proper customer
guidance to match the product and the need."
,"We are guided by the Environmental and social policy to ensure
ethical products and services."
