Kshs. Billions (except for EPS),FY2017,FY 2016,% Change (Y/Y)
Interest Income,40.4,42.3,-4.5%
Interest Expense,12.3,12.8,-3.9%
Net Interest Income,28.1,29.5,-4.7%
Fees & Commissions,9.8,9.8,0.3%
Forex Income,2.2,1.8,23.6%
Other Income,1.4,1.2,22.2%
Total Operating Income,41.6,42.3,-1.6%
Loan Loss Provision,3.6,2.6,38.5%
Staff Costs,10.1,9.4,7.5%
Other Operating Expenses,11.6,12.6,-8.0%
Profit Before Tax and Exceptional Items,16.3,17.6,-7.7%
Exceptional Items,-,-,-
Share of profit of associate,0.13,0.10,33.2%
Profit Before Tax,16.4,17.7,-7.3%
Tax,4.99,5.05,-1.1%
Profit After Tax,11.4,12.7,-10.0%
Basic Annualized EPS,1.94,2.16,-10%
