Column,Column,Column,Honorarium,Column,Column,Column,"Total
2020","Total
2019"
"Monthly
Retainer","Sitting
Allowance","Travelling
Facilitation",,"Responsibility
Allowance","Housing
Allowance","CEO Annual
Remuneration",,
4.43,0.64,0.68,4.53,6.17,2.98,-,19.43,20.23
4.63,1.04,0.68,4.13,2.50,1.28,-,14.26,15.14
1.61,0.78,1.15,3.87,2.22,1.02,-,10.65,11.15
1.41,0.65,0.90,3.87,-,-,-,6.83,7.29
1.41,0.83,2.11,3.87,-,-,-,8.22,8.72
1.41,0.64,0.90,3.87,-,-,-,6.82,2.79
0.59,0.31,0.17,17.2,-,-,-,18.27,7.37
0.83,0.35,0.73,1.33,-,-,-,3.24,0
1.41,0.41,1.27,3.87,-,-,-,6.96,7.63
1.41,0.70,1.85,3.87,-,-,-,7.83,8.14
1.41,0.41,1.60,3.87,-,-,-,7.29,7.65
1.41,0.41,1.44,3.87,-,-,-,7.13,7.71
1.41,0.41,1.27,3.87,-,-,-,6.96,7.95
2.05,0.40,0.75,3.87,-,-,-,7.07,7.61
2.05,0.40,0.95,3.87,-,-,-,7.27,8.07
2.05,0.40,0.94,3.87,-,-,-,7.26,7.96
2.05,0.40,0.90,3.87,-,-,-,7.22,7.96
2.05,0.40,0.95,3.87,-,-,-,7.27,8.18
2.05,0.40,0.75,3.87,-,-,-,7.07,3.29
2.05,0.40,0.75,3.87,-,-,-,7.07,6.98
-,-,-,-,-,-,-,-,8.72
-,-,-,-,-,-,-,-,1.03
-,-,-,-,5.47,-,111.57,117.04,113.51
37.72,10.38,20.74,89.11,16.36,5.28,111.57,291.16,285.08
