Kshs. Billions (except for EPS),Q2 - 2016,Q2 - 2015,"% Change
(Y/Y)","FY 2015
(audited)"
Interest Income,21.5,16.7,29%,36.8
Interest Expense,7.0,4.9,43%,13.6
Net Interest Income,14.5,11.8,23%,23.2
Fees & Commissions,5.0,4.7,6%,9.5
Forex Income,1.0,1.0,-4%,3.2
Total Income,21.3,17.7,20%,36.4
Loan Loss Provision,1.3,0.7,96%,2
Staff Costs,4.3,3.9,13%,8.9
Total Operating Expenses,11.0,9.1,21%,21.4
Profit Before Tax,10.4,8.8,19%,15.4
Profit After Tax,7.4,6.2,19%,11.7
Basic EPS,1.52,1.28,19%,2.3
