"360,991",-,Column,-,Column,Column,-,Column,Column,-,Column,Column,"360,991",Column,Column
"14,206",-,,-,,,-,,,-,,,"14,206",,
-,-,,-,,,"564,995",,,-,,,"564,995",,
-,-,,-,,,-,,,"43,182",,,"43,182",,
-,"44,508",,-,,,-,,,-,,,"44,508",,
-,"88,761",,-,,,-,,,-,,,"88,761",,
-,-,,"988,080",,,-,,,-,,,"988,080",,
"2,600,120",-,,-,,,-,,,-,,,"2,600,120",,
"18,128,183",-,,-,,,-,,,-,,,"18,128,183",,
"21,103,500","133,279",,"988,080",,,"564,995",,,"43,182",,,"22,833,026",,
"20,728,304","133,269",,"988,080",,,-,,,"43,182",,,"21,892,835",,
"375,196",-,,-,,,"564,995",,,-,,,"940,191",,
"21,103,500","133,269",,"988,080",,,"564,995",,,"43,182",,,"22,833,026",,
,,,,,,,,,,,,"Tot
KShs’00",,
"333,777",-,,-,,,-,,,,,-,,"333,77",7
"14,207",-,,-,,,-,,,,,-,,"14,20",7
-,-,,-,,,"392,045",,,,,-,,"392,04",5
-,-,,-,,,-,,,,5,"4,582",,"54,58",2
-,"37,298",,-,,,-,,,,,-,,"37,29",8
-,"34,472",,-,,,-,,,,,-,,"34,47",2
-,-,,"999,114",,,,,-,,,-,,"999,11",4
"1,468,391",-,,-,,,,,-,,,-,,"1,468,39",1
"18,902,969",-,,-,,,,,-,,,-,1,"8,902,96",9
"20,719,344","71,770",,"999,114",,,"392,045",,,5,,"4,582",22,",236,85",5
"20,371,361","71,770",,"999,1",,14,,,-,,5,"4,582",2,"1,496,82",7
"347,983",-,,,,-,,392,",045",,,-,,"740,02",8
"20,719,344","71,77",0,,"999,1",14,,392,",045",,5,"4,582",22,",236,85",5
,,"ed to t
lines.",,he custo,mer. Th,,is incl,udes lo,,"an fees,",mobil,e transa,ction fe,
