"8,974,080",Column,Column,"8,653,052",Column,Column
"(658,967)",,,"(510,089)",,
-,,,-,,
"8,315,113",,,"8,142,963",,
"(790,836)",,,"(326,217)",,
"19,670",,,-,,
"790,836",,,-,,
"8,974,080",,,"8,653,052",,
"(8,429,790)",,,"(9,117,671)",,
"563,960",,,"(790,836)",,
"31,30",,"3,209","29,","616,45",7
"9,39",,"0,962",8,",884,93",7
,,-,,,-
,,-,,,-
,,-,,,-
,,-,,,-
,"(1,07","5,849)",(,"741,97",4)
,"8,31","5,113","8,","142,96",3
,,with th,e Incom,e Tax A,
