"Available
immediately and
up to 1 month",1-3 months,3-12 months,1-5 years,Over 5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"10,883,024",-,-,-,-,"10,883,024"
"16,423,871","491,392",-,-,-,"16,915,263"
"5,460,989","43,475,092","24,070,124","49,739,462","150,783,267","273,528,934"
"8,399,547","1,595,936","33,201,081","180,386,020","227,819,816","451,402,400"
"41,167,431","45,562,420","57,271,205","230,125,482","378,603,083","752,729,621"
"221,890",-,-,-,-,"221,890"
"300,420,117","52,479,757","28,040,640","12,467",-,"380,952,981"
"64,024",-,"387,647","19,025,316","42,534,955","62,011,942"
"112,978","228,346","1,075,953","3,601,581","483,878","5,502,736"
"2,351,199",-,"16,527,086",-,-,"18,878,285"
"303,170,208","52,708,103","46,031,326","22,639,364","43,018,833","467,567,834"
"(262,002,777)","(7,145,683)","11,239,879","207,486,118","335,584,250","285,161,787"
-,"6,388,056","27,724,774","1,187,183",500,"35,300,513"
