Eng. William Mayar Wol – Chairman,Column,3.90,0.47,Column,1.07,Column,-,Column,5.70,Column,Column,5.7,Column,0,16.,84,18,.06
,,,,,,,,,,,,,,9 3.,,01 3,,
Prof. Mathew Gordon Udo,,1.90,0.40,,0.57,,-,,-,,,,,-,2.,87,3,.10
,,,,,,,,,,,,,0.1,3 2.,,82 3,,
"Dr. G. Muriuki, CBS, MBS - GMD & CEO",,2.06,-,,-,,-,,-,,,,0.3,6,2.,42,2,.32
,,,,,,,,,,,-,,,- 2.,,23 1,,
Mr. Zachary Chianda,,2.06,0.23,,0.27,,-,,,,-,0.1,,2,2.,68,2,.31
,,,,,,,,,,-,,,,-,,- 1,,
,,,,,,,,-,,5.70 6.5,,,,0 32.,,87 35,,
,,,,,,,,"rted to
202",,"Kenya Shillings
2",,,"using th
2021",e annua,,"l mean
20",,
Directors’ emoluments,"351,361",,,264,,",494",,"235,72",,9,1,,"97,849",,,"245,7",,15
