Column,Q2-2015,%,Q2-2014,%,FY - 2014,Column
Normal,"187,793",90.1%,"154,647",90.9%,"166,821",89.4%
Watch,"12,211",5.9%,"8,520",5.0%,"11,818",6.3%
Substandard,"3,096",1.5%,"2,739",1.6%,"3,382",1.8%
Doubtful,"4,527",2.2%,"3,092",1.8%,"3,837",2.1%
Loss,701,0.3%,"1,088",0.6%,763,0.4%
TOTAL,"208,328",100.0%,"170,088",100.0%,"186,622",100%
