Notes,"2021
(KShs’000)","2020
(KShs’000)"
43,"12,769,408","24,735,141"
24(b),"(5,650,973)","(4,801,866)"
,"7,118,435","19,933,275"
18(a),"(622,662)","(2,003,762)"
16(a),"(578,657)","(1,767,021)"
,"31,517","19,427"
13,"(54,149,469)","(64,288,708)"
13,"53,702,959","43,198,500"
14,-,"(1,039,000)"
,"(1,616,312)","(25,880,564)"
23,"2,244,426","31,119,730"
23,"(5,429,388)","(13,575,480)"
,"(5,867,180)","(5,867,180)"
,"(1,485,899)","(1,527,861)"
,"139,096",-
,"(10,398,945)","10,149,209"
,"(4,896,822)","4,201,920"
,"27,193,100","23,077,620"
,"(514,145)","(86,440)"
43,"21,782,133","27,193,100"
