"Available
immediately
and up to
1 month",1-3 months,3-12 months,1-5 years,Over 5 years,Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"29,982,617","2,510,054",–,–,–,"32,492,671"
"22,848,242","4,829,678",–,–,–,"27,677,920"
"2,004,560","11,483,204","15,426,314","102,493,585","134,736,549","266,234,211"
"37,207,916","15,311,367","26,917,180","166,739,944","269,475,674","515,652,081"
"650,637","8,806,037","4,962,638","6,227,396","233,771","20,880,479"
"92,693,972","42,940,339","47,306,132","275,460,925","404,445,994","862,937,363"
"5,752,083","628,047",–,–,–,"6,380,130"
"335,563,894","60,106,605","57,023,492","328,632",–,"453,022,623"
"4,874,105","59,049","2,356,896","14,440,318","60,796,745","82,527,113"
"115,456","282,716","1,206,657","1,878,575","1,970,623","5,454,027"
–,–,"1,396,103",–,–,"1,396,103"
"7,413,300",–,"21,575,646","3,310,757",,"28,988,946"
"353,718,838","61,076,417","83,558,794","19,958,282","62,767,368","577,768,941"
"(261,024,866)","(18,136,078)","(36,252,662)","255,502,644","341,678,626","285,168,421"
"1,762,509","4,679,048","13,037,421","9,336,366","202,220","29,017,564"
