Pillar 2 Risks,Column,Column,Column
Concentration,"Large exposures
(Individual,
Geographic, Industry
/ Sector, foreign
currency loans or
Collateral type)","Within our Risk Appetite
The Bank through its risk
monitoring tools assesses
and monitors concentration
risk in both its Banking
and Trading Books. The
Group also leverages on
the Herfindahl-Hirschman
index (HHI) to assess the
concentration levels.","• Leveraging on internal systems and procedures to identify,
assess, control and monitor any substantial credit risk
concentrations.
• The Bank will continue with strict limitation of concentration.
The same will apply to the deposit profile and Bank
investments where efforts are made to ensure that there is
proper diversification.
• Risk limits have been set on industry concentration and
incorporated in the Bank’s approved Risk Appetite Statement"
"Interest Rate Risk
in Banking Book
(IRRBB)","The Bank’s 12 months
repricing maturity
gap between rate
sensitive assets and
liabilities","We are positively gapped in
the aforementioned band
(12 months) hence within
our risk appetite","• IRRBB is managed by risk-taking business units.
• Independent IRRBB monitoring and measurement
undertaken by RMD.
• ALCO will continue to steer and integrate IRRBB risk
management across the Bank"
Liquidity,"• Liquidity Ratio
• Maturity gaps
• LCR
• NSFR","Our liquidity, LCR, NSFR
ratios
have been within our
internally set
limits and the regulatory
limits.
The liquidity ratio has been
above 30% since 2013.
(Dec 2020 – 49.52%)","• Managing liquidity risks will continue to be an integral part
of Co-op Bank’s business operation. Thus, liquidity risk will
be continuously forecast and analyzed using different time
horizons, with the aim of ensuring that the Group is able to
meet its obligations optimally
• The group’s liquidity risk & contingency planning
management framework will be reviewed on a regular
basis."
"Legal and
Contractual","Litigation- net overall
Bank exposure
(settlement amounts
in Kshs) in respect to
pending litigations
against and for the
Bank","Was within our Risk
Appetite
The cases are in our favor
and we do not envisage
the exposure materializing
against us.","• Co-op Bank is committed to adhere to statutory, regulatory
requirements and follow best practices and
market standards in the areas of accountability, transparency
and business ethics. The Bank aims at a
zero tolerance of misconduct and corruption."
"Compliance &
Regulatory
AML/ CTF
adherence","Penalties and
fines levied by the
regulatory bodies
to which the Bank
and its subsidiaries
companies adheres to
i.e. CBK, CMA, RBA,
IRA, KRA etc.","We have sustained our
compliance with the
statutory and regulatory
requirements.","• Co-op Bank is committed to adhere to statutory, regulatory
requirements and follow best practices and market standards
in the areas of accountability, transparency and business
ethics. The Bank aims at a zero tolerance of misconduct and
corruption."
