Kshs. Billions,Q12018,Q12017,"% Change
(YoY)",FY2017
Total Assets,397.8,378.5,5.1%,386.9
Loan book (Net),252.8,245.9,2.8%,253.9
Government Securities,75.0,60.5,23.8%,69.2
Total Deposits,299.9,281.6,6.5%,287.7
Borrowed Funds,20.7,24.3,-14.9%,21.2
Shareholders Funds,67.9,63.8,6.9%,69.6
No. of account holders (Millions),7.2,6.4,12.5%,7.1
