Column,Q32018,Q32017,FY2017
Core Capital / Total Deposits (8%),20.6%,19.8%,20.0%
Core Capital / Total Risk weighted Assets (10.5%),16.5%,15.9%,15.8%
Total Capital / Total Risk Weighted Asset (14.5%),16.6%,22.6%,22.0%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,36.8%,38.1%,37.6%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,53.4%,56.7%,53.9%
Liquidity (20%),40.7%,36.6%,33.5%
NPL / Total Loans,11.0%,6.3%,7.1%
Loans to Deposits,85.4%,89.4%,88.2%
Loans to Deposits & Borrowed Fund,78.6%,81.5%,82.2%
