Group,Column,Bank,Column
2023,2022,2023,2022
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"849,894","923,913","701,845","820,111"
"3,040,191","2,315,516","3,028,580","2,306,295"
"368,943","315,677","346,351","300,013"
"987,978","1,235,138","755,651","1,062,237"
"750,458","623,391","681,169","580,530"
"675,506","661,114","662,071","649,496"
"264,495","235,728","192,496","177,448"
"47,631","47,306","22,443","20,872"
–,"116,090",–,–
"6,787,668","8,609,505","4,868,579","7,358,331"
"13,772,764","15,083,378","11,259,185","13,275,333"
,2023,,2022
,KShs'000,,KShs'000
,"22,443",,"20,872"
,"8,287",,"4,928"
,"6,052",,"5,628"
,"36,782",,"31,428"
,"2,394",,"2,259"
,"16,485",,"15,537"
,"4,684",,"4,621"
,"23,563",,"22,317"
