Column,"FY 2024
KShs","FY 2023
KShs","Growth
KShs","Growth
%"
Co-operative Bank of Kenya Ltd,"31,303,207","29,616,456","1,686,752",5.7%
Co-operative Bank of South Sudan Ltd,"11,065","291,299","- 280,234",-96.2%
Co-opTrust Investment Services Ltd,"386,445","226,021","160,423",71.0%
Co-op Bancassurance Intermediary Ltd,"1,201,660","877,137","324,522",37.0%
Kingdom Securities Ltd,"74,209","13,191","61,018",462.6%
Kingdom Bank Ltd,"1,068,427","1,080,687","- 12,260",-1.1%
Co-op Bank and Subsidiaries Total,"34,045,012","32,104,792","1,940,221",6.0%
Associates share of profit,"735,307","259,058","476,250",184.0%
Group Profit Before Tax,"34,780,319","32,363,849","2,416,470",7.5%
Income Tax Expense,"9,323,974","9,175,482","148,492",1.6%
Group Profit After Tax,"25,456,345","23,188,367","2,267,978",9.8%
