"30-Sep-20
KSHS.’000
(Un-audited)","30-Jun-20 31-Mar-20 31-Dec-19 30-Sep-19
KSHS.’000 KSHS.’000 KSHS.’000 KSHS.’000
(Un-audited) (Un-audited) Audited (Un-audited)
107,081 19,171 201,701 137,905
425,110 216,048 721,910 1,353,190
1,279,518 641,504 2,645,291 1,054,925
341,540 169,509 595,085 410,517
3,957,781 1,836,025 8,717,000 5,644,499","30-Sep-20
KSHS.’000
(Un-audited)"
"143,771",,"108,480"
"654,143",,"560,195"
"1,912,526",,"1,889,418"
"518,646",,"516,374"
"6,533,874",,"6,222,238"
"23,450,080","14,567,856 7,262,824 27,794,275 19,817,054","22,507,891"
"13,789,254","9,653,173 5,239,319 20,665,718 15,432,081","12,888,373"
,"- -
(53,876) (121,645) 40,035 22,685",-
"(38,087)",,-
"13,751,167","9,599,297 5,117,673 20,705,753 15,454,766","12,888,373"
"3,430,474","2,401,379 1,528,934 6,547,494 4,571,022
- - (152,988) -","3,223,246"
"545,947",,"545,947"
"9,774,747","7,197,918 3,588,739 14,311,247 10,883,744","9,119,180"
,"- - - -
579,907 (3,840) 225,020 (330,864)
- - 153,536 -
- - 39,886 -
- - - -",
-,,-
(939),,"459,055"
-,,-
-,,-
-,,-
(939),"579,907 (3,840) 418,442 (330,864)","459,055"
"9,773,808",,"9,578,235"
1.67,,1.55
1.67,,1.55
-,,-
