2023,2022,2023,2022
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"25,590,532","22,506,416","486,131","486,131"
"(23,997,519)","(20,482,961)","(426,080)","(426,080)"
"1,593,013","2,023,455","60,051","60,051"
"(719,637)","(914,626)",–,–
"873,376","1,108,829","60,051","60,051"
"(522,786)","(510,044)","86,674","86,674"
"350,590","598,785","146,725","146,725"
"233,459","580,019",–,–
"117,131","18,766",–,–
"350,590","598,785",–,–
"117,131","200,052","49,020","49,020"
"291,792","370,456","18,616","18,616"
–,"(204,850)",–,–
–,"1,027",–,–
–,"33,419","86,674","86,674"
"291,792","(170,404)","86,674","86,674"
"117,131","200,052","105,289","105,289"
