COMPANY,"Profit Before Tax
Q12019
KShs’000","Profit Before Tax
Q12018
KShs’000",Variance,%
The Co-operative Bank of Kenya Limited,"4,808,705","4,626,912","181,793",4%
Co-op Consultancy & Ins Agency Limited,"216,000","164,905","51,095",31%
Co-op trust Investments Limited,"20,107","8,153","11,954",147%
Kingdom Securities Limited,"6,032","(5,234)","11,266",215%
Co-operative Bank of South Sudan,"41,744","32,436","9,308",29%
Total PBT before eliminations,"5,092,588","4,827,172","265,416",5%
Add: Share of profit from associates,"19,981","70,949","(50,968)",-72%
Group profit before tax,"5,112,569","4,898,121","214,448",4%
Income tax expense,"1,513,460","1,449,855","63,605",4%
Group profit after tax,"3,599,109","3,448,266","150,843",4%
