Kshs. Billions,FY 2024,FY 2023,% Growth
Total Assets,743.2,671.1,10.7%
Net Loan book,373.7,374.2,-0.1%
Government Securities,271.6,189.0,15.1%
Total Deposits,508.9,456.1,11.6%
Borrowed Funds,55.4,67.3,-17.7%
Shareholder's Funds,145.4,113.6,28.0%
