COMPANY,"Profit Before Tax
Q32018","Profit Before Tax
Q32017",%
,KShs’000,KShs’000,
The Co-operative Bank of Kenya Limited,"13,879,249","13,215,655",5%
Co-op Consultancy & Ins Agency Limited,"376,735","353,907",6%
Co-op trust Investments Limited,"38,197","29,999",27%
Kingdom Securities Limited,"(15,599)",82,(19123%)
Co-operative Bank of South Sudan,"235,116","39,149",501%
Total PBT before eliminations,"14,513,698","13,638,792",6%
Add: Share of profit from associates,"131,948","99,093",33%
Group profit before tax,"14,645,646","13,737,886",7%
Income tax expense,"4,331,710","4,201,626",3%
Group profit after tax,"10,313,936","9,536,259",8%
