Bank,Ownership,Principal Activity,2023,2022
,,,KShs‘000,KShs‘000
"Co-op Consultancy & Bancassurance
Intermediary Agency Limited",100%,"Consultancy &
Insurance Agency","70,000","70,000"
Co-op trust Investment Services Limited,100%,Fund management,"20,000","20,000"
Kingdom Securities Limited,60%,Brokerage Services,"150,000","150,000"
Co-operative Bank of South Sudan,51%,Banking,"2,644,925","2,644,925"
Kingdom Bank Limited,90%,Banking,"1,000,000","1,000,000"
,,,"3,884,925","3,884,925"
