Notes,"2021
(KShs’000)","2020
(KShs’000)"
33,"55,648,145","48,840,645"
34,"(14,892,824)","(12,791,405)"
,"40,755,321","36,049,240"
35,"15,233,684","12,901,027"
35,"(133,557)","(331,529)"
,"15,100,127","12,569,498"
36,"2,849,297","2,837,870"
27,"18,476","18,475"
40,-,-
37,"1,428,455","2,054,881"
,"4,296,228","4,911,226"
,"60,151,676","53,529,964"
12(c),"(7,929,256)","(8,111,824)"
40,"(540,675)","(585,350)"
16(a),"(756,575)","(967,586)"
17,(610),(610)
18(a),"(1,486,349)","(1,687,344)"
19(a),"(1,268,050)","(1,317,487)"
38,"(13,324,217)","(13,421,673)"
39,"(12,502,660)","(13,006,291)"
,"(37,808,392)","(39,098,165)"
,"22,343,284","14,431,799"
15,"305,579","(149,939)"
,"22,648,863","14,281,860"
24(a),"(6,104,960)","(3,468,985)"
,"16,543,903","10,812,875"
,"16,729,008","11,594,089"
,"(185,105)","(781,214)"
,"16,543,903","10,812,875"
41,2.85,1.98
41,2.85,1.98
