Ksh. Billions,Q1-2016,Q1-2015,"% Change
(YoY)",FY 2015
Total Assets,350.7,309.6,13.3%,342.5
Loan book (Net),213.7,184.1,16.1%,208.6
Government Securities,69.1,44.9,53.9%,60.1
Total Deposits,267.4,238.0,12.4%,268.8
No. of account holders (Millions),6,5.3,13.2%,5.9
Shareholders Funds,55.3,47.2,17.3%,50.2
