Age,Experience,Skills
72,"• Director-Debt Management Ministry of Finance-Treasury
• Alternate director for the Permanent Secretary-Treasury in various institutions
• Over 25 years of banking experience at the Central Bank of Kenya, notably as
the Director Bank Supervision","• Banking and finance
• Public finance management
• Bank supervision and Debt Management
• Leadership and governance"
54,"• Chairman of Co-opholdings Co-operative Society Ltd, the 65% strategic
investor in the bank
• Chairman of Harambee Co-operative Society Limited
• Director in Kingdom Bank Ltd.
• Various positions in the Civil Service","• Organizational change and development
• Business administration and
management
• Strategic planning and management
• Leadership"
58,"• Over 33 years’ experience in Banking and finance
• Fellow of the Kenya Institute of Bankers
• Honorary Doctorate in Business Management
• Vice-President Africa – International Co-operative Banking Alliance (ICBA)
• Previously, Chairman, Governing Council of the Africa International University
• Previously, Chairman, African Rural and Agricultural Credit Association
(AFRACA).","• Leadership and Management
• Strategic Planning and Execution
• Relationship Management
• Financial Analysis and Banking Expertise
• International Collaboration and
Networking
• Servant Leadership
• Adaptability and Resilience
• Educational development and Mentorship"
69,"• Vast experience in the coffee industry
• Board member of Co-optrust Investment Services Ltd since 1998
• Board member of Co-op Consultancy and Bancassurance Intermediary Ltd
since 2009
• Vice Chairman of Co-opholdings Co-operative Society Limited
• Director of Kingdom Securities Limited
• Director in Kenya Co-operative Coffee Exporters (KCCE","• Business Management
• Coffee Industry Expertise
• Leadership"
64,"• 35 years of experience in Human Resource Management in the banking and
financial sectors
• Independent Human Resources Consultant and Private Business owner
• Previously worked with Standard Chartered Bank, Barclays Bank, and Citibank
in Kenya, Uganda, Tanzania, and the United Kingdom.","• Human resource management
• Strategic planning
• Risk management
• Leadership"
