"113,023,138","276,737,476",–,"389,760,614"
–,–,"282,766,774","282,766,774"
"113,023,138","276,737,476","282,766,774","672,527,388"
"158,067,187","272,943,884",–,"431,011,071"
–,–,"241,516,317","241,516,317"
"158,067,187","272,943,884","241,516,317","672,527,388"
"121,603,165","184,312,167",–,"305,915,332"
–,–,"301,282,387","301,282,387"
"121,603,165","184,312,167","301,282,387","607,197,719"
"142,211,172","166,665,048",–,"308,876,220"
–,–,"298,321,499","298,321,499"
"142,211,172","166,665,048","298,321,499","607,197,719"
