2020,2019,2020,2019
KShs’000,KShs’000,KShs’000,KShs’000
"16,844,249","17,655,031","740,640","718,019"
"(16,903,266)","(17,457,144)","(939,076)","(660,380)"
"(59,017)","197,887","(198,436)","57,639"
"(217,288)","(108,586)",-,-
"(276,305)","89,301","(198,436)","57,639"
"36,871","129,720","19,903","24,792"
"(239,434)","219,021","(178,533)","82,431"
"(180,261)","162,733",-,-
"(59,173)","56,288",-,-
"(239,434)","219,021",-,-
"(79,971)","54,368","(55,345)","25,554"
"(92,285)","22,168","(61,515)","17,868"
"4,492","22,941",-,-
"7,823","2,767",-,-
-,"6,492","6,170","7,686"
"12,315","32,200","6,170","7,686"
"(79,971)","54,368","(55,345)","25,554"
