Co-op Bank South Sudan,Column,Column,Column
,Full BOD,Audit,Risk & Finance
Schedule of meetings:,,,
"ENG.William W.
Mayar-Chairman",4,,2
"John K. Murugu, OGW",4,2,
"Macloud Malonza,MBS, HSC",4,,2
"Dr. Gideon Muriuki, CBS, MBS –
Group Managing Director & CEO",4,2,2
Elijah Wamalwa-Managing Director,4,2,2
Prof. Mathew Gordon Udo,4,2,
Rosemary M. Githaiga (Mrs.),4,,
Hon. Ocum Genes Karlo,4,,
