-,Column,-,Column,Column,"2,307,300",Column,Column,Column,"2,307,300",Column,Column
"90,382,274",,-,,,-,,,,,"90,382,274",
-,,-,,,"338,26",,,3,,3,"38,263"
-,,"6,311,783",,,,,,-,,"6,3","11,783"
"82,502,980",,-,,,,,,-,,"82,5","02,980"
"24,065,500",,-,,,,,,-,,"24,0","65,500"
-,,"895,927",,,,,,-,,8,"95,927"
-,,"6,459,",,809,,,,-,,"6,4","59,809"
-,,,"367,",277,,,,-,,3,"67,277"
,-,,,-,,"2,","307,30",0,,"2,3","07,300"
"84,80","4,458",,,-,,,,-,,"84,8","04,458"
,-,,,-,,,"313,75",5,,3,"13,755"
,-,,"6,347,",857,,,,-,,"6,3","47,857"
,,,,,,,,,,,1
