2021,Column,Column,2020,Column,Column
"Carrying
amount",,,"Carrying
amount",,
KShs’000,"10%
appreciation","10%
depreciation",KShs’000,"10%
appreciation","10%
depreciation"
"83,854,355","(8,385,436)","8,385,436","83,113,492","(8,311,349)","8,311,349"
"1,906,247","(190,625)","190,625","800,224","(80,022)","80,022"
"5,189,660","(518,966)","518,966","11,014,096","(1,101,410)","1,101,410"
"63,180","(6,318)","6,318","77,477","(7,748)","7,748"
"50,922","(5,092)","5,092","34,994","(3,499)","3,499"
"43,522","(4,352)","4,352","23,257","(2,326)","2,326"
"799,424","(79,942)","79,942","917,631","(91,763)","91,763"
,"(9,190,731)","9,190,731",,"(9,598,117)","9,598,117"
"84,583,162","8,458,316","(8,458,316)","83,039,266","8,303,927","(8,303,927)"
"1,900,534","190,053","(190,053)","794,548","79,455","(79,455)"
"5,100,612","510,061","(510,061)","11,108,460","1,110,846","(1,110,846)"
"71,386","7,139","(7,139)","76,922","7,692","(7,692)"
"6,810",681,(681),"11,366","1,137","(1,137)"
"46,166","4,617","(4,617)","23,534","2,353","(2,353)"
"790,273","79,027","(79,027)","865,904","86,590","(86,590)"
,"9,249,894","(9,249,894)",,"9,592,000","(9,592,000)"
,"59,163","(59,163)",,"(6,117)","6,117"
,0.26%,(0.26%),,(0.04%),0.04%
,"41,414","(41,414)",,"(4,588)","4,588"
,0.04%,(0.04%),,(0.01%),0.01%
