Kshs. Billions,Q32017,Q32016,"% Change
(YoY)",FY2016
Total Assets,388.3,354.0,9.7%,351.9
Loan book (Net),259.4,227.1,14.2%,236.9
Government Securities,68.1,66.3,2.6%,57.8
Total Deposits,290.2,260.6,11.4%,263.6
Borrowed Funds,28.0,26.5,5.7%,19.8
Shareholders Funds,67.3,59.2,13.8%,61.3
No. of account holders (Millions),6.8,6.1,11.5%,6.22
