Column,What we do,What we offer
Retail and Business Banking Division,"Providing financial solutions to individual
Customers, Micro, Small and Medium
Enterprises."," Deposit/ Instant Access accounts
 Savings Accounts
 Current accounts
 Fixed/Call deposit accounts
 Forex products
 Payment solutions
 Funds transfer
 Funds access across all our channels
 M-Wallet loans
 Trade Finance
 MSME Loans
 Personal/Consumer Loans
 Working Capital Loans
 Asset Finance
 Insurance Premium Financing
 Mortgage Finance
 Investment services
 BancAssurance
 Consultancy and capacity building
 Stock Brokerage
 Leasing"
"Corporate and Institutional Banking
Division","Providing financial solutions to;
• Corporates
• Institutions
• Government
• Parastatals
• Non- Governmental Institutions
• International Financial Institutions",
Co-operatives Division,"Providing financial solutions to;
• Large Saccos
• Housing Saccos
• Agricultural and other Co-operatives
• PSV/ Transport Saccos
• Investment Saccos
• Housing Saccos",
Kingdom Bank Ltd,A Niche MSME Bank,
Co-optrust Investment Services Ltd,Fund Management Services,
"Coop Consultancy and Insurance
Agency Ltd","• BancAssurance Services
• Consultancy and capacity building
services to Co-operative Societies",
Kingdom Securities Ltd,Stock Brokerage Services,
"Co-op Bank Fleet Africa Leasing
Limited",Leasing solutions,
