Column,Q12023,Q12022,YoY Change
Total Interest Income,15.6,14.0,11.2%
Total Interest Expenses,4.8,3.6,32.2%
Net Interest Income,10.8,10.4,3.9%
Fees and commissions on loans and advances,3.4,2.6,30.9%
Other Fees and commissions,2.5,2.8,-10.1%
Foreign exchange trading income,1.1,0.8,43.9%
Other income,0.1,0.3,-60.6%
Total Operating Income,17.9,16.8,6.5%
Loan loss provision,1.53,1.54,-0.7%
Staff costs,4.0,3.5,12.8%
Other operating expenses,4.3,4.0,8.9%
Total Operating expenses,9.8,9.0,8.8%
Profit before tax and exceptional items,8.1,7.8,3.9%
Exceptional items-Share of profit of associate,0.09,0.03,189.9%
Profit Before Tax,8.1,7.8,4.6%
Income tax,2.04,1.95,4.3%
Profit After Tax,6.1,5.8,4.7%
