"21,729,052","217,291","(217,291)","6,836,863","68,369","(68,369)"
"360,387,386","3,603,874","(3,603,874)","331,323,038","3,313,230","(3,313,230)"
,"3,821,165","(3,821,165)",,"3,381,599","(3,381,599)"
"5,752,083","(57,521)","57,521","981,637","(9,816)","9,816"
"204,750,328","(2,047,503)","2,047,503","168,909,374","(1,689,094)","1,689,094"
"4,094,559","(40,946)","40,946","2,921,715","(29,217)","29,217"
"47,086,007","(470,860)","470,860","24,884,464","(248,845)","248,845"
,"(2,616,830)","2,616,830",,"(1,976,972)","1,976,972"
,"(1,204,335)","(1,204,335)",,"1,404,627","(1,404,627)"
,4.07%,(4.07%),,4.84%,(4.84%)
,"843,034","(843,034)",,"983,239","(983,239)"
"84,804,458","848,045","(848,045)","83,381,239","833,812","(833,812)"
,"1,691,079","(1,691,079)",,"1,817,051","(1,817,051)"
,1.59%,(1.59%),,1.80%,(1.80%)
