"9,004,175","32,821,863","27,240,030","69,066,068"
"(9,330,642)","(8,273,594)","(6,240,670)","(23,844,906)"
"(326,467)","24,548,269","20,999,360","45,221,162"
"5,239,411","16,456,235","4,766,102","26,461,748"
"4,912,944","41,004,504","25,765,462","71,682,910"
"(23,993)","(702,416)","(2,051,011)","(2,777,420)"
"(58,053)","(114,448)","(806,232)","(978,733)"
"(854,262)","(6,541,882)","(28,512,490)","(35,908,634)"
–,–,"345,725","345,725"
"3,976,636","33,645,758","(5,258,546)","32,363,848"
–,–,"(9,175,483)","(9,175,483)"
"3,976,636","33,645,758","(14,434,029)","23,188,365"
"7,260,293","26,842,937","27,642,893","61,746,123"
"(7,587,030)","(5,661,440)","(2,972,713)","(16,221,183)"
"(326,737)","21,181,497","24,670,180","45,524,940"
"6,820,714","18,027,405","881,816","25,729,935"
"6,493,977","39,208,902","25,551,996","71,254,875"
"(82,837)","(1,537,190)","(765,286)","(2,385,313)"
–,–,"(805,832)","(805,832)"
"(768,574)","(13,564,587)","(24,719,488)","(39,052,649)"
–,–,"416,141","416,141"
"5,642,566","24,107,125","(322,469)","29,427,222"
–,–,"(7,389,055)","(7,389,055)"
"5,642,566","24,107,125","(7,711,524)","22,038,167"
