Column,"Actual
Q1-2016","Projections
FY 2016"
Profit Before Tax Growth,9.7%,20%
Loans & Advances Growth,16.1%,19%
Deposits Growth,12.4%,20%
Cost to Income Ratio,45%,50%
Non Funded to Total Income,33.8%,36%
ROAE,26.8%,28%
ROAA,4.2%,4.5%
NPL,3.4%,4.15%
Cost of funds,5.7%,4.5%
Net interest margin (NIM),11%,10.5%
Cost of risk,1.3%,1%
