Kshs. Billions,H1 2025,H1 2024,% Growth
Total Assets,811.9,716.9,13.2%
Net Loan book,391.3,375.6,4.2%
Government Securities,253.7,202.2,25.5%
Total Deposits,560.6,514.0,9.1%
Borrowed Funds,65.7,50.2,30.8%
Shareholder's Funds,156.3,126.7,23.4%
