Balance Sheet Ksh. Billions,Q32023,Q32022,% Growth
Total Assets,661.3,622.1,6.3%
Net Loan book,378.1,335.2,12.8%
Government Securities,185.1,182.4,1.5%
Total Deposits,450.5,442.5,1.8%
Borrowed Funds,65.6,41.9,56.5%
Shareholder's Funds,108.1,100.9,7.1%
