Group,Column,Bank,Column
2023,2022,2023,2022
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"6,682,061","6,308,494","6,666,677","6,303,940"
"20,630,529","13,922,908","20,474,104","13,822,925"
"37,421,545","33,717,560","36,178,695","33,531,285"
"3,637,971","3,327,398","2,700,049","2,512,000"
"56,150,372","49,573,815","52,743,612","47,401,614"
"42,223,701","42,164,694","41,074,449","41,651,617"
"45,689,515","37,623,583","42,992,711","35,499,587"
"210,937,708","196,965,588","204,518,611","191,703,871"
"423,373,402","383,604,040","407,348,908","372,426,839"
"(6,347,857)","(6,217,201)","(6,347,857)","(6,217,201)"
"417,025,545","377,386,839","401,001,051","366,209,638"
"126,669,258","111,281,720","124,769,886","110,256,515"
"66,842,368","65,358,961","64,145,564","63,234,965"
"52,130,028","41,033,487","47,574,016","38,348,208"
"172,844,324","160,746,753","165,987,402","155,408,586"
"4,887,424","5,183,119","4,872,040","5,178,565"
"423,373,402","383,604,040","407,348,908","372,426,839"
"(6,347,857)","(6,217,201)","(6,347,857)","(6,217,201)"
"417,025,545","377,386,839","401,001,051","366,209,638"
