Group,Column,Column,Bank,Column,Column
"Buildings
and
Equipment","Motor
Vehicles",Total,"Buildings
and
Equipment","Motor
Vehicles",Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"7,485,197","208,273","7,693,470","6,717,258","208,273","6,925,531"
"121,474",-,"121,474","81,763",-,"81,763"
-,-,-,-,-,-
-,-,-,-,-,-
"(328,035)",-,"(328,035)",-,-,-
"7,278,636","208,273","7,486,909","6,799,021","208,273","7,007,294"
"3,628,076","108,950","3,737,026","3,404,727","108,950","3,513,677"
"1,113,271","52,033","1,165,304","1,024,375","52,033","1,076,408"
-,-,-,-,-,-
"(45,749)",-,"(45,749)",-,-,-
"4,695,598","160,983","4,856,581","4,429,102","160,983","4,590,085"
"2,583,038","47,290","2,630,328","2,369,919","47,290","2,417,209"
"6,707,671","208,273","6,915,944","6,033,840","208,273","6,242,113"
"1,044,718",-,"1,044,718","683,418",-,"683,418"
-,-,-,-,-,-
-,-,-,-,-,-
"(267,192)",-,"(267,192)",-,-,-
"7,485,197","208,273","7,693,470","6,717,258","208,273","6,925,531"
"2,497,012","56,917","2,553,929","2,259,958","56,917","2,316,875"
"1,216,017","52,033","1,268,050","1,144,769","52,033","1,196,802"
,-,-,-,-,-
"(84,953)",-,"(84,953)",-,-,-
"3,628,076","108,950","3,737,026","3,404,727","108,950","3,513,677"
"3,857,121","99,323","3,956,444","3,312,531","99,323","3,411,854"
