COMPANY,Column,"Profit Before Tax
FY2017","Profit Before Tax
FY2016",%
,,KShs’000,KShs’000,KShs’000
The Co-operative Bank of Kenya Limited,,"16,502,181","18,020,405",-8.4%
Co-op Consultancy & Ins Agency Limited,,"415,853","197,622",110.4%
Co-op trust Investments Limited,,"28,533","69,407",-58.9%
Kingdom Securities Limited,,968,"(20,163)",104.8%
Co-operative Bank of South Sudan,,"(602,871)","(498,324)",-21.0%
Total PBT before eliminations,,"16,344,664","17,768,946",-8.0%
Add: Share of profit from associates,,"129,904","97,546",33.2%
Group profit before tax,,"16,398,638","17,723,532",-7.3%
Income tax expense,,"4,993,573","5,047,322",-1.1%
Group profit after tax,,,,-10.0%
,Group profit after tax,"11,405,065","12,676,210",-10.0%
,44,,,
