Column,Q32018,Q32017,FY2017
Provision for specific Bad & D Debts,"9,799.81","5,559.90","6,075.83"
Provision for Interest on Bad & D Debts,998.18,897.37,948.48
General Provision for B & D debts,"5,049.96","3,134.54","3,166.83"
Total,"15,847.95","9,591.81","10,191.14"
