KShs. Billions,Q32021,Q32020,YoY Change
Total Interest Income,39.6,32.5,22%
Total Interest Expenses,10.9,8.9,22%
Net Interest Income,28.7,23.6,21%
Fees and commissions,12.4,11.3,9%
Forex income,1.9,1.8,4%
Other income,1.4,0.4,238%
Total Operating Income,44.4,37.2,19%
Loan loss provision,6.0,4.0,50%
Staff costs,10.0,9.7,4%
Other operating expenses,11.9,9.7,22%
Total other operating expenses,28.0,23.5,19%
Profit before tax and exceptional items,16.4,13.8,19%
Exceptional Item - Share of profit of associate,0.04,-0.04,210%
Profit before tax,16.5,13.8,20%
Tax,4.9,4.0,22%
Profit after tax,11.6,9.8,19%
Earnings per share,2.64,2.22,19%
