New standards or amendments,"Effective for annual period
beginning or after"
"Interest Rate Benchmark Reform – Phase 2 – Amendments to IFRS 9, IAS 39, IFRS 7,
IFRS 4 and IFRS 16",January 1 2021
Reference to the Conceptual Framework (Amendments to IFRS 3),January 1 2022
"Property, Plant and Equipment: Proceeds before Intended Use (Amendments to IAS 16)",January 1 2022
Onerous Contracts Cost of Fulfilling a Contract (Amendments to IAS 37),January 1 2022
"AIP IFRS 1 First-time Adoption of International Financial Reporting Standards –
Subsidiary as a first-time adopter",January 1 2022
"AIP IFRS 9 Financial Instruments – Fees in the ’10 per cent’ test for derecognition of
financial liabilities",January 1 2022
AIP IAS 41 Agriculture – Taxation in fair value measurements,January 1 2022
IFRS 17 Insurance Contracts,January 1 2023
Classification of liabilities as current or non-current (Amendments to IAS 1),January 1 2023
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28)",To be determined
