Column,Key Strategic Focus,"Key stakeholder
impacted","Key Strategic Performance
Indicator",Key Achievement
1.,"To be the dominant
Bank in the Region",Our Shareholders,"• DPS
• ROA
• ROE
• Market Share","• Dividend per share Kshs.1
• Return on Assets 3.2%
• Return on Equity 18.3%
• 3rd Largest Bank, Market Capitalization Kshs.
83.3B
• Most sustainable Bank (Catalyst Awards 2018)"
2.,"To enhance our
overall customer
experience",Our Customers,"• Customer centricity
• Staff training","• Customer centric model implemented
• 942 staff trained on Distinctive Customer Expe-
rience.
• Focus on digitization of customer journeys."
3.,"To be the employer
of choice",Our Employees,"• Performance
• Reward
• Wellness","• Robust skills, performance management and
Reward mechanism.
• 95.4% staff members achieved and exceeded
their targets.
• Staff Wellness program uptake on track and
achieved 90% uptake by end 2018"
4.,"To ensure that our
internal capabilities
enable optimum
value creation for all
our stakeholders",Our Enterprise,• CIR,"• Digitization, operational efficiency, Proactive
Risk management has led to cost management,
revenue generation and optimal risk uptake.
• Our cost to income ratio has fallen to 54.6%
from 59% in 2014."
5.,"To ensure that the
group operates as a
responsible corporate
citizen",Our Community,"Responsible citizenship
• Social
• Economic
• Environmental","• Over 2600 consultancies carried out by our
subsidiary: Co-op Consultancy and insurance.
• 7002 students supported since the inception of
Co-op Foundation.
• Employee parity and wellness ensured.
• Green lending – USD 34B as at 31.12.2018"
