USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
123.3735,148.4671,131.2653,0.9228,133.4706,7.2175,–,
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"24,961,367","314,140","2,455,078","44,913","62,274","36,992","141,816","28,016,580"
"27,546,499","93,031","111,576",–,–,–,–,"27,751,106"
"2,828,187","30,676",–,–,–,–,–,"2,858,863"
"55,336,053","437,847","2,566,654","44,913","62,274","36,992","141,816","58,626,549"
"51,413,801","85,314","5,953,669","23,070",–,–,"273,012","57,748,866"
"106,749,854","523,161","8,520,323","67,983","62,274","36,992","414,828","116,375,415"
"24,202,637","466,008","1,268,333","67,017","5,528","1,295","1,069","26,011,887"
"16,631,635",–,"3,937,959",–,–,–,–,"20,569,594"
"4,373,367","9,489","14,975",–,–,–,"1,817","4,399,648"
"45,207,639","475,497","5,221,267","67,017","5,528","1,295","2,886","50,981,129"
"64,756,672","85,415","3,261,418",–,"46,715","38,307","291,963","68,480,490"
"109,964,311","560,912","8,482,685","67,017","52,243","39,602","294,849","119,461,619"
"(3,214,457)","(37,751)","37,638",966,"10,031","(2,610)","119,979","(3,086,204)"
