Kshs. Billions (except for EPS),Q12019,Q12018,"% Change
(Y/Y)",FY2018
Interest Income,10.1,10.4,-3%,43.02
Interest Expense,3.2,3.0,6%,12.24
Net Interest Income,6.9,7.4,-7%,30.78
Fees & Commissions,3.4,2.6,34%,9.52
Forex Income,0.6,0.8,-15%,2.28
Other Income,0.1,0.2,-36%,1.09
Total Operating Income,11.1,10.9,2%,43.68
Loan Loss Provision,0.5,0.8,-34%,1.84
Staff Costs,2.8,2.6,6%,11.45
Other Operating Expenses,2.7,2.7,1%,12.40
Profit Before Tax and Exceptional Items,5.1,4.8,5%,17.99
Share of profit of associate,0.0,0.1,-72%,0.17
Profit Before Tax,5.1,4.9,4%,18.16
Tax,1.5,1.4,4%,5.42
Profit After Tax,3.6,3.4,4%,12.73
Basic Annualized EPS,2.5,2.4,4%,2.17
